material_id,dielectric_poly_total
mp-1223893,11.350427646853783
mp-16988,11.368710662285778
mp-730,11.353479649297729
mp-756202,11.353131295206055
mp-580941,11.351637978842167
mp-761124,11.359036888965598
mp-616573,11.354478253195525
mp-775543,11.3663335055015
mp-28136,11.350916299719845
mp-776397,11.355117096125081
mp-11695,11.347848591365564
mp-542637,11.354982980661962
mp-27854,11.355265241130743
mp-239,11.349655906301171
mp-643384,11.354486578229274
mp-8289,11.352270730435217
mp-23484,11.356240935767522
mp-23164,11.361318008934875
mp-7264,11.34887198199075
mp-13335,11.354931752245548
mp-707735,11.369326594622807
mp-14447,11.349749170801882
mp-1206350,11.3507213643459
mp-24066,11.347358858476124
mp-11713,11.349422578966795
mp-2552,11.35196880200659
mp-5795,11.352828300964859
mp-7906,11.348979986554896
mp-7404,11.34929664384065
mp-558016,11.349261886612004
mp-759283,11.350037952041784
mp-2150,11.348554443542126
mp-1821,11.351157727854634
mp-754605,11.363609081878725
mp-9029,11.353582309555298
mp-777418,11.347305838086344
mp-568469,11.3656504593639
mp-1102077,11.349883293143048
mp-541280,11.34762206864546
mp-571436,11.350089855145379
mp-567228,11.351166508281255
mp-1025267,11.346731564455796
mp-31493,11.352526806706189
mp-8153,11.351521262693867
mp-29877,11.354277254494786
mp-1190030,11.352934498001499
mp-1190450,11.354029489828893
mp-6094,11.365592317557432
mp-753940,11.349476190319477
mp-682,11.363240789319796
mp-29513,11.355210731280296
mp-14864,11.365761238819298
mp-24431,11.367145867005238
mp-1222351,11.36341940489318
mp-34127,11.348738393886341
mp-25223,11.347460775451426
mp-997088,11.35010274351526
mp-4187,11.3511990473452
mp-643385,11.350402045983865
mp-756520,11.35515191443521
mp-531265,11.35278506422246
mp-1029258,11.353801038917002
mp-28391,11.355375866700607
mp-6980,11.352623882626439
mp-11016,11.369446097368817
mp-768440,11.35147448493891
mp-25301,11.350958687284342
mp-775837,11.350903267592912
mp-23418,11.363639783786814
mp-29506,11.366377127248116
mp-23059,11.355237850279764
mp-28029,11.358290014559001
mp-22914,11.35354081120729
mp-28264,11.352601166274361
mp-13055,11.35355408624877
mp-755097,11.35037811508903
mp-549720,11.363676502455698
mp-1205338,11.352984665436693
mp-17146,11.353238836665764
mp-17112,11.352927531466076
mp-27463,11.351495739904673
mp-18000,11.350858144425514
mp-40144,11.360894973004665
mp-772750,11.348657759093133
mp-29585,11.356563755505297
mp-18725,11.353556789232734
mp-17307,11.350485493313105
mp-6560,11.368618107877168
mp-38394,11.354716753318806
mp-22889,11.369751377901734
mp-677191,11.353827295884097
mp-17128,11.351756453660474
mp-31243,11.368263923663513
mp-676861,11.354286179380773
mp-13863,11.350422831549805
mp-23850,11.349558066515144
mp-756156,11.363516676655587
mp-989625,11.35552563424274
mp-27716,11.357522682569511
mp-36582,11.351382985205676
mp-17577,11.352052630211162
mp-8714,11.366703991399637
mp-1104707,11.35732389786848
mp-7181,11.352646224715272
mp-999498,11.350743681132387
mp-1079600,11.353250230865118
mp-571306,11.353711055924336
mp-989524,11.353349763489495
mp-567313,11.352387792435382
mp-22930,11.352507682890987
mp-25246,11.352917127158069
mp-7601,11.352313193356514
mp-558071,11.352538457637303
mp-28741,11.368593844917283
mp-17066,11.363607382163986
mp-12244,11.353900111670931
mp-556216,11.354589072166336
mp-7786,11.35361421353946
mp-8389,11.353951552907505
mp-1095440,11.355061013396881
mp-18914,11.355378645198236
mp-647343,11.365970409208334
mp-1029275,11.350819472153516
mp-602,11.350365150249662
mp-778194,11.352430014315733
mp-31306,11.35087086492493
mp-673070,11.350296028992277
mp-1205304,11.350167027036536
mp-626554,11.348609859922835
mp-23656,11.355751884098657
mp-626088,11.354661556253129
mp-22870,11.35193851028014
mp-20078,11.34978386259533
mp-27369,11.350197213441366
mp-1542727,11.362395707371752
mp-9250,11.34910044602239
mp-756504,11.356120356004185
mp-24413,11.351185670413003
mp-758521,11.370938996237038
mp-19426,11.354912740149326
mp-570706,11.3579091108236
mp-7000,11.361943027245484
mp-3102,11.349624796163692
mp-8603,11.351853943874683
mp-27178,11.347484662616633
mp-22583,11.355138229835685
mp-760313,11.351188086073092
mp-557308,11.350832187419819
mp-560625,11.356992058486698
mp-18929,11.350713957370651
mp-6951,11.353820766954579
mp-772830,11.347729770392405
mp-604429,11.35594980030341
mp-41219,11.352005336258419
mp-28548,11.34933221660579
mp-505166,11.366996387487342
mp-505511,11.36530026663457
mp-6289,11.347938838647957
mp-1189259,11.351334798724336
mp-10426,11.349714554202633
mp-756500,11.354918046939781
mp-571461,11.358471564420352
mp-1112940,11.359099236145077
mp-5151,11.351088978370484
mp-1080135,11.349863539544835
mp-18775,11.349361229573429
mp-8884,11.350811685590356
mp-14037,11.355766658960716
mp-1103842,11.350287349874087
