material_id,dielectric_poly_total
mp-1223893,48.353747784193345
mp-16988,47.38799391632334
mp-730,48.26775563040168
mp-756202,48.810254331448895
mp-580941,47.63163762548466
mp-761124,48.588837888704994
mp-616573,46.73964065645091
mp-775543,48.29248795932076
mp-28136,47.69350165006169
mp-776397,36.77182958531515
mp-11695,48.968250914908225
mp-542637,46.804644099991684
mp-27854,48.048992910041676
mp-239,47.69350165006169
mp-643384,49.03721201730924
mp-8289,46.57722880816258
mp-23484,48.35088909384139
mp-23164,48.85241474506639
mp-7264,46.34388270293669
mp-13335,47.01013598564257
mp-707735,48.3891520310905
mp-14447,48.78230032514335
mp-1206350,49.0212095184505
mp-24066,48.26775563040168
mp-11713,48.344883841741684
mp-2552,47.849239662701684
mp-5795,47.72783871981973
mp-7906,48.56610224338334
mp-7404,47.990475630401676
mp-558016,47.34840935427668
mp-759283,47.39945472765258
mp-2150,48.26775563040168
mp-1821,47.84350574439836
mp-754605,48.437953791757025
mp-9029,47.159598257251695
mp-777418,48.1875148629746
mp-568469,48.28060542967466
mp-1102077,48.75994326710654
mp-541280,48.93474157688822
mp-571436,48.69574045965733
mp-567228,47.152389476798334
mp-1025267,50.58267296990696
mp-31493,47.07689026075091
mp-8153,49.36690238200821
mp-29877,46.443749724750916
mp-1190030,46.443749724750916
mp-1190450,46.77314999447091
mp-6094,50.15341140643798
mp-753940,48.344883841741684
mp-682,48.97072688438954
mp-29513,49.687700997539
mp-14864,48.62954606916271
mp-24431,48.38349709586132
mp-1222351,46.61003320138425
mp-34127,48.06652079310169
mp-25223,48.53749156307461
mp-997088,48.06652079310169
mp-4187,47.71211258176169
mp-643385,44.81889076004411
mp-756520,46.21620415872092
mp-531265,48.058964336795924
mp-1029258,50.95002936011616
mp-28391,48.02065201458502
mp-6980,47.34352494996168
mp-11016,48.15582267464335
mp-768440,47.69350165006169
mp-25301,48.50234492382662
mp-775837,48.89663501675889
mp-23418,47.51824345699502
mp-29506,47.89673551430967
mp-23059,46.73354847588169
mp-28029,47.77062986140169
mp-22914,47.43755904109257
mp-28264,48.42718957344335
mp-13055,47.45548918895169
mp-755097,49.44245476552092
mp-549720,46.96151882694669
mp-1205338,48.86672538739322
mp-17146,47.438634257986685
mp-17112,47.715922089732565
mp-27463,45.04244638798485
mp-18000,46.45466739989169
mp-40144,47.764400094725914
mp-772750,47.064180924045914
mp-29585,46.96353405944592
mp-18725,47.416221650061686
mp-17307,48.26775563040168
mp-6560,47.34538874231168
mp-38394,47.47825624739092
mp-22889,47.420653161301686
mp-677191,48.06652079310169
mp-17128,48.13129864174334
mp-31243,47.34538874231168
mp-676861,46.35885554022168
mp-13863,46.67433922261002
mp-23850,46.96567246520972
mp-756156,46.19361249584168
mp-989625,46.846633978019106
